@relation mathplacement2017

@attribute accepted_date string
@attribute accepted_month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec }
@attribute placement_year { 2017,  2018, 2019, 2020 }
@attribute placement_semester { TRSUMMER, SUMMER, FALL, SPRING}
@attribute unscaled_score {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}
@attribute scaled_score numeric
@attribute recommended_course { MATH112, MATH115, MATH116, MATH117, MATH120, MATH209 }
@attribute course_taken { MATH112, MATH115, MATH116, MATH117, MATH120, MATH209 }
@attribute took_rec_course {true, false}
@attribute teacher_id { P100021964, P100003100, P002014415, P100003700, P008616066, P093001886, P089009198, P107131684, P089003876, P10713684, P02014415, P08616066, P107132779, P107180113, P107180114, P107266174, P107266245, P107265286, P107265287, P107265288}
@attribute midtermgrade {pass, fail, W, I, ER}
@attribute finalgrade {pass, fail, W, I, ER}


@data
2017-07-14,Jul,2017,FALL,6,105,MATH112,MATH112,true,P107265286,fail,fail
2017-07-17,Jul,2017,FALL,11,407,MATH112,MATH112,true,P107265286,fail,W
2017-07-17,Jul,2017,FALL,13,508,MATH112,MATH112,true,P107265286,pass,pass
2017-07-14,Jul,2017,FALL,12,507,MATH112,MATH112,true,P107265286,pass,pass
2017-07-18,Jul,2017,FALL,13,607,MATH112,MATH112,true,P107265286,fail,pass
2017-07-17,Jul,2017,FALL,15,708,MATH112,MATH112,true,P107265286,pass,pass
2017-07-17,Jul,2017,FALL,7,7,MATH112,MATH112,true,P107265286,pass,pass
2017-07-18,Jul,2017,FALL,9,405,MATH112,MATH112,true,P107265286,fail,pass
2017-07-14,Jul,2017,FALL,14,608,MATH112,MATH112,true,P107265286,pass,pass
2017-07-17,Jul,2017,FALL,11,506,MATH112,MATH112,true,P107265286,fail,pass
2017-07-13,Jul,2017,FALL,12,705,MATH112,MATH112,true,P107265286,fail,fail
