Semester Taken,ID,Mathrecommendation,Adjusted Score,Score
SP2017,1A1F5930D,MATH115,512,17
SP2017,27F0A36DB,MATH115,210,12
SP2017,293F23611,MATH120,1216,28
SP2017,3B9EC7D3,MATH120,1113,24
SP2017,3BA0EB0D,MATH120,1115,26
SP2017,3BA3DCC3,MATH120,1616,32
SP2017,3BA4388F,MATH115,411,15
SP2017,3BA565B1,MATH120,1713,30
SP2017,3BA76A69,MATH115,713,20
SP2017,3BA964BD,MATH120,1616,32
SP2017,3BA97F4D,MATH120,1313,26
SP2017,3BA9BE31,MATH120,1716,33
SP2017,3BAAEBE9,MATH120,1513,28
SP2017,3BAB0273,MATH120,1614,30
SP2017,3BAB3F9F,MATH120,1216,28
SP2017,3BABCAE1,MATH120,1115,26
SP2017,3BAC10CD,MATH120,1916,35
SP2017,3BACD643,MATH120,1814,32
SP2017,3BACDACB,MATH120,1216,28
SP2017,3BAD4547,MATH115,510,15
SP2017,3BAD4CC7,MATH120,1616,32
SP2017,3D8912B5,MATH120,1112,23
SP2017,3FD5BC0D,MATH120,912,21
SP2017,3FD60753,MATH120,1015,25
SP2017,3FD6467D,MATH115,110,11
SP2017,3FD65357,MATH120,1214,26
SP2017,3FD67E77,MATH112,508,13
SP2017,3FD69E11,MATH120,1616,32
SP2017,3FD74C8F,MATH120,2016,36
SP2017,3FD780C9,MATH112,508,13
SP2017,3FD7A9F5,MATH120,1416,30
SP2017,3FD7AE5F,MATH120,1816,34
SP2017,3FD7AEEB,MATH112,505,10
SP2017,3FD7B5A3,MATH120,1816,34
SP2017,3FD7B927,MATH120,1013,23
SP2017,3FD7BF21,MATH120,1216,28
SP2017,3FD7C2A5,MATH120,1111,22
SP2017,3FD7C6A1,MATH120,912,21
SP2017,3FD7C83B,MATH115,309,12
SP2017,3FD7D907,MATH120,1113,24
SP2017,3FD7EE8D,MATH115,709,16
SP2017,3FD7F4CD,MATH120,1212,24
SP2017,3FD7F7CF,MATH120,1515,30
SP2017,3FD7F83D,MATH120,1615,31
SP2017,3FD7FA09,MATH120,811,19
SP2017,3FD7FDDD,MATH112,506,11
SP2017,3FD80017,MATH115,714,21
SP2017,3FD800D5,MATH120,1212,24
SP2017,3FD8023D,MATH120,806,14
SP2017,3FD80387,MATH120,910,19
SP2017,3FD8043B,MATH120,1414,28
SP2017,3FD8053F,MATH120,1113,24
SP2017,3FD8067F,MATH120,1313,26
SP2017,3FD807B5,MATH112,408,12
SP2017,3FD80BD9,MATH112,708,15
SP2017,3FD80C33,MATH120,808,16
SP2017,3FD80C51,MATH120,806,14
SP2017,3FD80C8D,MATH120,914,23
SP2017,3FD80EBD,MATH120,814,22
SP2017,3FD80F3F,MATH112,705,12
SP2017,3FD8107F,MATH115,412,16
SP2017,3FD81093,MATH120,813,21
SP2017,3FD814FD,MATH120,1115,26
SP2017,3FD81665,MATH115,714,21
SP2017,3FD819B7,MATH120,1516,31
SP2017,3FD81A43,MATH120,813,21
SP2017,3FD81AD9,MATH120,1114,25
SP2017,3FD81E5D,MATH120,1816,34
SP2017,3FD821FF,MATH120,1813,31
SP2017,3FD8232B,MATH115,709,16
SP2017,3FD824ED,MATH120,1415,29
SP2017,3FD8251F,MATH120,813,21
SP2017,3FD82C9F,MATH120,1211,23
SP2017,3FD82E07,MATH115,713,20
SP2017,3FD830AF,MATH120,1115,26
SP2017,3FD830C3,MATH120,1212,24
SP2017,3FD83267,MATH120,1216,28
SP2017,3FD834AB,MATH115,411,15
SP2017,3FD834BF,MATH120,1014,24
SP2017,3FD83901,MATH120,1716,33
SP2017,3FD84365,MATH120,1114,25
SP2017,3FD84531,MATH115,709,16
SP2017,3FD84BB7,MATH115,612,18
SP2017,3FD84C61,MATH120,1012,22
SP2017,3FD84E87,MATH120,914,23
SP2017,3FD84FA9,MATH115,611,17
SP2017,3FD8566B,MATH120,1411,25
SP2017,3FD8584B,MATH120,1816,34
SP2017,3FD85D23,MATH120,2016,36
SP2017,3FD861F1,MATH115,513,18
SP2017,3FD86313,MATH120,1212,24
SP2017,3FD8640D,MATH120,1113,24
SP2017,3FD864FD,MATH120,1515,30
SP2017,3FD86AF7,MATH115,411,15
SP2017,3FD86CAF,MATH120,1012,22
SP2017,3FD87047,MATH120,1211,23
SP2017,3FD87137,MATH120,813,21
SP2017,3FD87BD7,MATH120,1312,25
SP2017,3FD88CFD,MATH120,1416,30
SP2017,3FD89045,MATH115,512,17
SP2017,3FD89A63,MATH115,309,12
SP2017,3FD89E4B,MATH120,1516,31
SP2017,3FD8D767,MATH120,1816,34
SP2017,3FD8D933,MATH120,1916,35
SP2017,3FD8EC89,MATH120,1416,30
SP2017,3FD8EDF1,MATH120,814,22
SP2017,3FD8FA49,MATH120,1415,29
SP2017,3FD906B5,MATH120,1413,27
SP2017,3FD90719,MATH120,1515,30
SP2017,3FD90999,MATH120,1412,26
SP2017,3FD90F25,MATH120,911,20
SP2017,3FD91709,MATH115,709,16
SP2017,3FD91821,MATH120,1216,28
SP2017,3FD92CCB,MATH120,1215,27
SP2017,3FD93B17,MATH112,407,11
SP2017,3FD93BE9,MATH120,813,21
SP2017,3FD94FDF,MATH120,1013,23
SP2017,3FD97F7D,MATH120,1315,28
SP2017,3FD98883,MATH120,803,11
SP2017,3FD99585,MATH115,710,17
SP2017,3FD99AD5,MATH120,1010,20
SP2017,3FD9A291,MATH120,812,20
SP2017,3FD9A4D5,MATH112,508,13
SP2017,3FD9AB97,MATH120,1413,27
SP2017,3FD9ACCD,MATH115,709,16
SP2017,3FD9B4C5,MATH120,809,17
SP2017,3FD9B79F,MATH120,1612,28
SP2017,3FD9B8CB,MATH115,211,13
SP2017,3FD9B907,MATH120,1013,23
SP2017,3FD9CE3D,MATH120,1214,26
SP2017,3FD9D7BB,MATH115,611,17
SP2017,3FD9EFE9,MATH120,1312,25
SP2017,3FD9FF2F,MATH120,1314,27
SP2017,3FDA00F1,MATH120,1214,26
SP2017,3FDA05DD,MATH120,1716,33
SP2017,3FDA071D,MATH112,304,7
SP2017,3FDA073B,MATH120,1009,19
SP2017,3FDA0989,MATH120,1014,24
SP2017,3FDA0DF3,MATH115,612,18
SP2017,3FDA1F87,MATH120,913,22
SP2017,3FDA4291,MATH112,408,12
SP2017,3FDA4DF9,MATH120,1514,29
SP2017,3FDA4FCF,MATH115,612,18
SP2017,3FDA500B,MATH112,304,7
