course_year,course_sem,course_taken,rec_course,took_recom_course,scaled_score,raw_score,course_start_date,teacher_id,student_id,acceptance_date,acceptance_month,proj_grad_year,proj_grad_sem,midtermgrade,finalgrade,midtermgrade,finalgrade
2017,FALL,MATH112,MATH112,1,105,6,21-Aug-17,P107265286,3fe785b9,14-Jul-17,Jul,2020,SPRING,D+,D+,fail,fail
2017,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,21-Aug-17,P107265286,3fe4a8cb,10-Aug-17,Aug,2017,FALL,F,F,fail,fail
2017,FALL,MATH112,MATH112,1,407,11,21-Aug-17,P107265286,3fe1ca43,17-Jul-17,Jul,2017,FALL,D+,W,fail,W
2017,FALL,MATH112,MATH112,1,508,13,21-Aug-17,P107265286,3fd780c9,17-Jul-17,Jul,2020,SPRING,A-,B,pass,pass
2017,FALL,MATH112,MATH112,1,507,12,21-Aug-17,P107265286,3fe6ffe5,14-Jul-17,Jul,2017,FALL,B-,C,pass,pass
2017,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,21-Aug-17,P107265286,3fd96321,29-Mar-17,Mar,2020,SPRING,A,B+,pass,pass
2017,FALL,MATH112,MATH112,1,607,13,21-Aug-17,P107265286,3fe611f7,18-Jul-17,Jul,2018,SPRING,D+,C-,fail,pass
2017,FALL,MATH112,MATH112,1,708,15,21-Aug-17,P107265286,3fe99aa7,17-Jul-17,Jul,2020,SPRING,C,C+,pass,pass
2017,FALL,MATH112,MATH112,1,7,7,21-Aug-17,P107265286,3fea4ed9,17-Jul-17,Jul,2020,SPRING,A+,A+,pass,pass
2017,FALL,MATH112,MATH112,1,405,9,21-Aug-17,P107265286,3fe8c0ff,18-Jul-17,Jul,2020,SPRING,D+,C-,fail,pass
2017,FALL,MATH112,MATH112,1,608,14,21-Aug-17,P107265286,3fe6e7cb,14-Jul-17,Jul,2017,FALL,A,A,pass,pass
2017,FALL,MATH112,MATH120,0,1113,24,21-Aug-17,P107265286,3fd8640d,22-Aug-17,Aug,2020,SPRING,A-,B+,pass,pass
2017,FALL,MATH112,MATH112,1,506,11,21-Aug-17,P107265286,3fea315b,17-Jul-17,Jul,2018,SPRING,D,C-,fail,pass
2017,FALL,MATH112,MATH112,1,705,12,21-Aug-17,P107265286,3fe75e95,13-Jul-17,Jul,2018,SPRING,F,D-,fail,fail
2017,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,21-Aug-17,P107265286,3fdac8d3,7-Apr-17,Apr,2017,FALL,C+,W,pass,W
2017,FALL,MATH112,MATH112,1,706,13,21-Aug-17,P107265286,3fe2ccbd,17-Jul-17,Jul,2020,SPRING,F,W,fail,W
2017,FALL,MATH112,MATH112,1,308,11,21-Aug-17,P107265286,3fe6e1a9,17-Jul-17,Jul,2018,SPRING,C+,D+,pass,fail
2017,FALL,MATH112,MATH112,1,506,11,21-Aug-17,P107265286,3fe37451,17-Jul-17,Jul,2018,FALL,C+,C,pass,pass
2017,FALL,MATH112,MATH112,1,507,12,21-Aug-17,P107265286,3fda9327,19-Jul-17,Jul,2018,SPRING,B,C,pass,pass
2017,FALL,MATH112,MATH112,1,106,7,21-Aug-17,P107265286,3fe7af49,17-Jul-17,Jul,2018,SPRING,F,W,fail,W
2017,FALL,MATH112,MATH112,1,706,13,21-Aug-17,P107265286,3fe67b83,18-Jul-17,Jul,2020,SPRING,C+,C-,pass,pass
2017,FALL,MATH112,MATH112,1,405,9,21-Aug-17,P107265286,3fec331b,17-Jul-17,Jul,2020,SPRING,D+,F,fail,fail
2017,FALL,MATH112,MATH112,1,407,11,21-Aug-17,P107265286,3fe6333f,17-Jul-17,Jul,2019,SPRING,D+,C,fail,pass
2017,FALL,MATH112,MATH112,1,506,11,21-Aug-17,P107265286,3fe1d3d5,18-Jul-17,Jul,2018,SPRING,C,C,pass,pass
2017,FALL,MATH112,MATH112,1,407,11,21-Aug-17,P107265286,3fd93b17,13-Jul-17,Jul,2018,SUMMER,F,W,fail,W
2017,FALL,MATH115,MATH120,0,1315,28,21-Aug-17,P107180113,3fe1864b,14-Jul-17,Jul,2018,FALL,A,A,pass,pass
2017,FALL,MATH115,MATH115,1,712,19,21-Aug-17,P107180113,3fee2793,18-Aug-17,Aug,2018,SPRING,D,C,fail,pass
2017,FALL,MATH115,MATH120,0,1010,20,21-Aug-17,P107180113,3fe8e6e3,13-Jul-17,Jul,2018,SPRING,D,C,fail,pass
