course_year,course_sem,course_taken,rec_course,took_recom_course,scaled_score,raw_score,course_start_date,teacher_id,student_id,acceptance_date,acceptance_month,proj_grad_year,proj_grad_sem,midtermgrade,finalgrade,midtermgradePF,finalgradePF
2020,SPRING,MATH116,   MATH120,0,,4,8-Jan-20,P107266245,3fe5e05b,31-Oct-19,Oct,2020,SPRING,C,,pass,
2020,SPRING,MATH116,#N/A,#N/A,,4,8-Jan-20,P107266245,3ff4a663,7-Nov-19,Nov,2020,SPRING,C,,pass,
2020,SPRING,MATH116,   MATH120,0,,4,8-Jan-20,P107266245,3ff5a919,5-Nov-19,Nov,2020,SPRING,A,,pass,
2020,SPRING,MATH116,   MATH115,0,,4,8-Jan-20,P107266245,3ff2a219,5-Nov-19,Nov,2020,SPRING,A,,pass,
2020,SPRING,MATH116,#N/A,#N/A,,4,8-Jan-20,P107266245,3ff4cca1,10-Dec-19,Dec,2020,SPRING,F,,fail,
2020,SPRING,MATH116,   MATH115,0,,5,8-Jan-20,P107266245,3fdb4033,18-Nov-19,Nov,2020,SPRING,A,,pass,
2020,SPRING,MATH116,#N/A,#N/A,,5,8-Jan-20,P107266245,3fdb4033,18-Nov-19,Nov,2020,SPRING,A,,pass,
2020,SPRING,MATH116,#N/A,#N/A,,5,8-Jan-20,P107266245,3ff509c3,11-Dec-19,Dec,2020,SPRING,D,,fail,
2020,SPRING,MATH116,   MATH112,0,,5,8-Jan-20,P107266245,3ff3a727,5-Nov-19,Nov,2020,SPRING,A,,pass,
2020,SPRING,MATH116,   MATH115,0,,7,8-Jan-20,P107266245,3ff597fd,6-Nov-19,Nov,2020,SPRING,C,,pass,
2020,SPRING,MATH116,   MATH112,0,,7,8-Jan-20,P107266245,3ff30367,6-Nov-19,Nov,2020,SPRING,A,,pass,
2020,SPRING,MATH116,   MATH120,0,,7,8-Jan-20,P107266245,3ff5ad3d,9-Jan-20,Jan,2020,SPRING, W,,fail,
