ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH116 09-Jan-2019 P107265286 3fd69e11 01-Nov-2018 2020 SPRING C+ C
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe761e7 01-Nov-2018 2020 SPRING F W
2019 SPRING MATH116 09-Jan-2019 P107265286 3fec3285 28-Dec-2018 2020 SPRING A+ A
2019 SPRING MATH116 09-Jan-2019 P107265286 3ff0d6c3 07-Nov-2018 2019 FALL F F
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe559fb 15-Jan-2019 2019 FALL C+ C
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe67f9d 03-Nov-2018 2020 SPRING C+ C
2019 SPRING MATH116 09-Jan-2019 P107265286 3ff00c1b 07-Nov-2018 2020 SPRING A A-
2019 SPRING MATH116 09-Jan-2019 P107265286 3fd72c19 23-Oct-2018 2020 SPRING B+ B-
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe37d89 07-Nov-2018 2020 SPRING  W
2019 SPRING MATH116 09-Jan-2019 P107265286 3fee4a39 01-Nov-2018 2020 SPRING  W
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe7ee5f 01-Nov-2018 2020 SPRING F W
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe6b067 31-Oct-2018 2020 SPRING A+ A
2019 SPRING MATH116 09-Jan-2019 P107265286 3babdeeb 04-Nov-2018 2020 SPRING D+ D+
2019 SPRING MATH116 09-Jan-2019 P107265286 3fdcb017 26-Oct-2018 2020 SPRING D+ D+
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe5e05b 07-Jan-2019 2020 SPRING F W
2019 SPRING MATH116 09-Jan-2019 P107265286 3fe65563 30-Oct-2018 2020 SPRING A B+
2019 SPRING MATH116 09-Jan-2019 P107265286 3ff01369 07-Nov-2018 2020 SPRING B B-
2019 SPRING MATH116 09-Jan-2019 P107265286 3ff06d69 07-Nov-2018 2019 FALL F W
2019 SPRING MATH116 09-Jan-2019 P107265286 3fdec447 23-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107265286 3fee652d 25-Oct-2018 2020 SPRING A- A-
2019 SPRING MATH116 09-Jan-2019 P107265286 3ff26bb9 06-Dec-2018 2020 SPRING A+ A
