2019,          FALL,        MATH209,        P107266174,    1ca1909,        02-Aug-2019,        ,        A,        
2019,          FALL,        MATH209,        P107266174,    1cd1c03,        15-Aug-2019,        ,        A,        
2019,          FALL,        MATH120,        P100062478,    363fe907,        03-Apr-2019,        A,        A-,        
2019,          SPRING,        MATH115,        P008616066,    363fe907,        08-Nov-2018,        B+,        A-,        
2019,          FALL,        MATH116,        P091007905,    3b9c3ecd,        08-Aug-2019,        ,        W,        
2019,          FALL,        MATH116,        P107266245,    3ba03faf,        21-Mar-2019,        D,        W,        
2019,          SPRING,        MATH116,        P089009198,    3ba2bcad,        15-Jan-2019,        C,        D,        
2019,          SPRING,        MATH209,        P002014415,    3ba3f807,        23-Oct-2018,        A,        A,        
2019,          SPRING,        MATH116,        P107265286,    3ba40e7d,        23-Oct-2018,        C,        C,        
2019,          SPRING,        MATH209,        P100062478,    3ba45667,        25-Oct-2018,        A,        A,        
2019,          SPRING,        MATH116,        P107266245,    3ba491f9,        15-Jan-2019,        B,        C,        
2019,          SPRING,        MATH115,        P107266245,    3ba50873,        06-Nov-2018,        B,        C,        
2019,          FALL,        MATH209,        P107307484,    3ba54b7b,        22-Aug-2019,        A,        B-,        
2019,          SPRING,        MATH209,        P100062478,    3ba550e9,        25-Oct-2018,        C-,        B-,        
2019,          SPRING,        MATH120,        P107180113,    3ba5f279,        09-Jan-2019,        C,        B,        
2019,          SPRING,        MATH116,        P107266245,    3ba60ddb,        31-Oct-2018,        A,        C,        
2019,          FALL,        MATH209,        P008800231,    3ba60ddb,        27-Jun-2019,        I,        W,        
2019,          SPRING,        MATH116,        P089009198,    3ba61551,        23-Oct-2018,        C,        C,        
2019,          SPRING,        MATH116,        P107265286,    3ba61d99,        18-Jan-2019,        D,        D,        
2019,          SPRING,        MATH209,        P089003876,    3ba7497b,        25-Oct-2018,        B,        B,        
2019,          SPRING,        MATH116,        P107180114,    3ba75ab5,        10-Dec-2018,        F,        C,        
2019,          FALL,        MATH209,        P107307329,    3ba7b811,        21-Mar-2019,        A,        A-,        
2019,          SPRING,        MATH117,        P107265286,    3ba7bb27,        25-Oct-2018,        C,        C,        
2019,          SPRING,        MATH117,        P107180113,    3ba8edd5,        23-Oct-2018,        B,        C,        
2019,          SPRING,        MATH116,        P100062478,    3ba8f84d,        11-Jan-2019,        C+,        F,        
2019,          SPRING,        MATH209,        P100062478,    3ba93623,        25-Oct-2018,        A,        A+,        
2019,          SPRING,        MATH209,        P089003876,    3ba93e2f,        25-Oct-2018,        B,        C,        
2019,          SPRING,        MATH120,        P093001886,    3ba964bd,        21-Dec-2018,        C,        C,        
