Semester Taken,ID,Mathrecommendation,Adjusted Score,Raw Score
SP2019,   3baa2add,   MATH112,,7
SP2019,   3bab417f,   MATH112,,14
SP2019,   3bac11db,   MATH112,,14
SP2019,   3fcc7dcd,   MATH112,,20
SP2019,   3fd7c6bf,   MATH112,,11
SP2019,   3fd7ef2d,   MATH112,,16
SP2019,   3fda3607,   MATH112,,14
SP2019,   3fdb4033,   MATH112,,15
SP2019,   3fdc66e3,   MATH115,,20
SP2022,   3fdc873b,   MATH120,,31
SP2019,   3fdc9f73,   MATH115,,19
SP2019,   3fdca207,   MATH120,,32
SP2019,   3fdddebf,   MATH120,,27
SP2019,   3fddf3af,   MATH120,,26
SP2019,   3fde4e31,   MATH120,,27
SP2019,   3fde5935,   MATH115,,17
SP2019,   3fdf3a99,   MATH115,,24
SP2024,   3fdf99d5,   MATH112,,2
SP2030,   3fdf99d5,   MATH112,,5
SP2019,   3fe05627,   MATH120,,26
SP2019,   3fe078f5,   MATH120,,27
SP2019,   3fe08313,   MATH120,,31
SP2019,   3fe0aaaf,   MATH120,,27
SP2019,   3fe0bbcb,   MATH120,,33
SP2019,   3fe25a21,   MATH120,,30
SP2019,   3fe2c173,   MATH112,,13
SP2019,   3fe44ddb,   MATH115,,23
SP2019,   3fe46edd,   MATH120,,23
SP2019,   3fe4e093,   MATH120,,31
SP2019,   3fe51239,   MATH115,,15
SP2019,   3fe54439,   MATH115,,8
SP2019,   3fe54439,   MATH115,,14
SP2019,   3fe590c9,   MATH112,,22
SP2019,   3fe59cef,   MATH120,,35
SP2019,   3fe6766f,   MATH120,,30
SP2019,   3fe6814b,   MATH120,,31
SP2019,   3fe688cb,   MATH120,,27
SP2019,   3fe72551,   MATH112,,19
SP2019,   3fe725f1,   MATH120,,27
SP2019,   3fe7541d,   MATH115,,22
SP2019,   3fe7d055,   MATH120,,30
SP2019,   3fe7d361,   MATH115,,21
SP2019,   3fe8a31d,   MATH115,,21
SP2019,   3fe8f0c5,   MATH120,,30
SP2019,   3fe8fd59,   MATH112,,18
SP2019,   3fe976d5,   MATH120,,24
SP2019,   3fe9e2ff,   MATH120,,32
SP2019,   3fea3b65,   MATH120,,31
SP2019,   3fea7323,   MATH115,,24
SP2019,   3fea7323,   MATH115,,23
SP2019,   3fea7323,   MATH120,,27
SP2019,   3fea7959,   MATH120,,29
SP2019,   3fea8345,   MATH120,,30
SP2019,   3fea84fd,   MATH120,,36
SP2019,   3fea851b,   MATH120,,28
SP2019,   3fea8903,   MATH112,,17
SP2019,   3fea99c5,   MATH115,,12
SP2019,   3fea9ec5,   MATH115,,21
SP2019,   3fea9f3d,   MATH120,,23
SP2019,   3feaae01,   MATH120,,34
